# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,69,0:03.709.002,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,70,0:03.709.074,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,71,0:03.709.125,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,72,0:03.709.196,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 4A 00 45 00 66 00 00 00*
0,73,0:03.727.082,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,74,0:03.727.154,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,75,0:03.727.205,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,76,0:03.727.276,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 64 00 59 00 6D 00 00 00*
0,77,0:03.743.612,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,78,0:03.743.684,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,79,0:03.743.735,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,80,0:03.743.806,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 7F 00 6B 00 6D 00 00 00*
0,81,0:03.760.106,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,82,0:03.760.177,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,83,0:03.760.228,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,84,0:03.760.300,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 9C 00 82 00 6D 00 00 00*
0,85,0:03.776.614,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,86,0:03.776.686,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,87,0:03.776.737,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,88,0:03.776.808,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 BE 00 9C 00 6D 00 00 00*
0,89,0:03.793.203,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,90,0:03.793.274,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,91,0:03.793.325,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,92,0:03.793.397,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 E7 00 BD 00 6D 00 00 00*
0,93,0:03.809.603,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,94,0:03.809.674,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,95,0:03.809.726,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,96,0:03.809.797,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 08 01 DA 00 66 00 00 00*
0,97,0:03.826.088,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,98,0:03.826.159,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,99,0:03.826.210,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,100,0:03.826.282,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 2D 01 FD 00 6F 00 00 00*
0,101,0:03.842.568,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,102,0:03.842.640,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,103,0:03.842.691,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,104,0:03.842.762,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 57 01 20 01 6F 00 00 00*
0,105,0:03.859.082,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,106,0:03.859.153,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,107,0:03.859.205,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,108,0:03.859.276,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 7A 01 3D 01 6F 00 00 00*
0,109,0:03.875.573,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,110,0:03.875.644,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,111,0:03.875.695,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,112,0:03.875.767,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 A0 01 5D 01 6F 00 00 00*
0,113,0:03.893.681,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,114,0:03.893.752,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,115,0:03.893.804,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,116,0:03.893.875,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 C5 01 7F 01 6F 00 00 00*
0,117,0:03.910.206,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,118,0:03.910.277,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,119,0:03.910.328,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,120,0:03.910.400,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 E6 01 A0 01 6F 00 00 00*
0,121,0:03.926.691,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,122,0:03.926.763,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,123,0:03.926.814,70.200 us,2 B,,SP,4B,Write Transaction,82 01
