# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,69,0:07.231.614,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,70,0:07.231.685,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,71,0:07.231.736,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,72,0:07.231.808,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 38 00 34 0F 1F 00 00 00*
0,73,0:07.248.081,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,74,0:07.248.152,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,75,0:07.248.203,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,76,0:07.248.275,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 3A 00 34 0F 1F 00 00 00*
0,77,0:07.263.686,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,78,0:07.263.757,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,79,0:07.263.808,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,80,0:07.263.879,318.500 us,11 B,,SP,4B,Read Transaction,01 29 12 02 06 01 00 16 00 00 00*
0,81,0:07.264.728,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,82,0:07.264.799,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,83,0:07.264.850,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,84,0:07.264.922,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 3B 00 35 0F 1F 00 00 00*
0,85,0:07.281.133,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,86,0:07.281.204,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,87,0:07.281.255,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,88,0:07.281.327,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 3D 00 35 0F 1F 00 00 00*
0,89,0:07.297.596,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,90,0:07.297.667,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,91,0:07.297.718,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,92,0:07.297.790,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 3F 00 35 0F 1F 00 00 00*
0,93,0:07.314.086,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,94,0:07.314.158,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,95,0:07.314.209,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,96,0:07.314.280,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 40 00 35 0F 1F 00 00 00*
0,97,0:07.330.579,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,98,0:07.330.650,49.900 us,1 B,,SP,4B,Read Transaction,01*
0,99,0:07.330.701,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,100,0:07.330.773,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 42 00 35 0F 1F 00 00 00*
0,101,0:07.347.110,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,102,0:07.347.181,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,103,0:07.347.232,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,104,0:07.347.304,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 43 00 35 0F 1F 00 00 00*
0,105,0:07.365.228,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,106,0:07.365.299,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,107,0:07.365.350,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,108,0:07.365.422,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 44 00 35 0F 24 00 00 00*
0,109,0:07.381.723,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,110,0:07.381.794,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,111,0:07.381.846,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,112,0:07.381.917,325.600 us,11 B,,SP,4B,Read Transaction,01 30 91 46 00 35 0F 24 00 00 00*
0,113,0:07.398.210,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,114,0:07.398.282,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,115,0:07.398.333,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,116,0:07.398.404,324.900 us,11 B,,SP,4B,Read Transaction,01 30 91 48 00 36 0F 24 00 00 00*
0,117,0:07.414.677,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,118,0:07.414.748,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,119,0:07.414.799,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,120,0:07.414.870,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 49 00 36 0F 24 00 00 00*
0,121,0:07.431.142,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,122,0:07.431.213,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,123,0:07.431.264,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,124,0:07.431.336,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 4B 00 36 0F 24 00 00 00*
0,125,0:07.447.608,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,126,0:07.447.680,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,127,0:07.447.731,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,128,0:07.447.802,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 4D 00 36 0F 24 00 00 00*
0,129,0:07.464.102,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,130,0:07.464.173,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,131,0:07.464.224,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,132,0:07.464.296,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 4F 00 36 0F 24 00 00 00*
0,133,0:07.480.566,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,134,0:07.480.638,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,135,0:07.480.689,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,136,0:07.480.760,324.800 us,11 B,,SP,4B,Read Transaction,01 30 91 51 00 36 0F 24 00 00 00*
0,137,0:07.497.058,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,138,0:07.497.130,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,139,0:07.497.181,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,140,0:07.497.252,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 54 00 36 0F 24 00 00 00*
0,141,0:07.513.525,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,142,0:07.513.596,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,143,0:07.513.647,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,144,0:07.513.719,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 56 00 36 0F 29 00 00 00*
0,145,0:07.531.556,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,146,0:07.531.627,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,147,0:07.531.679,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,148,0:07.531.750,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 58 00 36 0F 29 00 00 00*
0,149,0:07.548.130,70.200 us,2 B,,SP,4B,Write Transaction,82 01
