# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,69,0:05.372.237,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,70,0:05.372.309,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,71,0:05.372.360,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,72,0:05.372.431,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 44 01 35 0F 39 00 00 00*
0,73,0:05.388.590,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,74,0:05.388.662,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,75,0:05.388.713,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,76,0:05.388.784,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 58 01 33 0F 39 00 00 00*
0,77,0:05.405.100,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,78,0:05.405.172,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,79,0:05.405.223,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,80,0:05.405.294,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 6B 01 31 0F 40 00 00 00*
0,81,0:05.421.601,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,82,0:05.421.672,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,83,0:05.421.723,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,84,0:05.421.795,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 7B 01 2E 0F 40 00 00 00*
0,85,0:05.438.100,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,86,0:05.438.171,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,87,0:05.438.222,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,88,0:05.438.294,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 8D 01 2A 0F 40 00 00 00*
0,89,0:05.454.570,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,90,0:05.454.641,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,91,0:05.454.692,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,92,0:05.454.764,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 A0 01 26 0F 48 00 00 00*
